ts_code,name,industry_name,trade_date,close_qfq,ma_qfq_60,kdj_qfq,macd_dif_qfq,amount,pct_chg,turnover_rate,volume_ratio,total_mv,circ_mv,open_qfq,high_qfq,low_qfq,kdj_k_qfq,kdj_d_qfq,macd_dea_qfq,macd_qfq,pe_ttm,pb,score_mv,score_turnover,score_pct,score_vr,body_ratio,score_body,score_j,close_vs_ma60,score_ma60,score,score_level
300730.SZ,科创信息,软件服务,20260707,13.07,14.367833333333333,-0.20210201412982798,-0.32131429551989754,117401.70481,1.161,4.2972,1.09,315168.673,270229.3078,12.850000000000001,13.7,12.850000000000001,19.586631111017823,29.48099767359165,-0.2797623421506604,-0.08310390673847423,,19.822,25,20,20,10,0.258823529411764,5,5,-9.032909160509007,0,85,A
603519.SH,立霸股份,家用电器,20260707,14.76,13.945666666666666,1.2179015340156525,0.45784064427230753,123682.105,0.0,3.138,1.19,393099.8328,393099.8328,14.72,15.08,14.56,34.02261617899114,50.42497350147889,0.4924103979184198,-0.06913950729222451,25.2478,3.1161,25,20,5,10,0.07692307692307535,0,10,5.839328823768438,0,70,B
688668.SH,鼎通科技,通信设备,20260707,331.17,295.23646620351724,2.354761825713936,2.0196333367837838,1522780.086,2.7521,3.2978,0.85,4612224.4602,4612224.4602,322.0,343.0,321.68,11.178698554137315,15.590666918349005,16.42581805224796,-28.81236943092835,172.1261,22.4193,4,20,20,5,0.43011257035647366,10,5,12.171102797210859,0,64,C
002803.SZ,吉宏股份,互联网,20260707,23.88,21.422940795503145,-1.7363567055916462,0.8492126044491535,315812.95002,4.0523,4.4398,0.87,1071126.1764,710583.3096,22.82,24.59,22.62,31.929107681480414,48.76183987501644,1.0611975489737966,-0.42396988904928623,36.931,3.8682,4,20,20,5,0.5380710659898473,10,5,11.469289991281736,0,64,C
300394.SZ,天孚通信,通信设备,20260707,244.08999999999997,277.8243009004023,-5.354683881771393,-10.964090596207768,10210084.5761,2.9916,3.8967,0.89,26625949.8659,26566465.1329,237.0,246.5,234.66000000000003,11.444278933523556,19.84376034117103,0.15120155577032968,-22.230584303956196,122.5952,44.526,4,20,20,5,0.5988175675675668,10,0,-12.142314689921886,0,59,C
688332.SH,中科蓝讯,半导体,20260707,136.8,101.87332760708823,4.922948846988035,12.432833938358073,753294.352,2.3646,3.2029,1.04,2441678.904,2441678.904,133.06,137.0,127.0,41.38041147153828,59.609142783813404,13.984866157854627,-3.1040644389931096,17.8917,4.6248,4,20,20,10,0.3740000000000009,5,0,34.284413018900565,0,59,C
002983.SZ,芯瑞达,元器件,20260707,24.63,24.794500000000003,-5.5358175809705585,0.2017529156196396,146230.68797,1.1084,4.6111,0.7,549532.7376,315651.9225,24.17,25.8,23.949999999999996,30.46250289551601,48.461663133759295,0.38266717245193804,-0.3618285136645969,50.0117,3.958,12,20,20,0,0.24864864864864653,5,0,-0.6634535884974645,0,57,C
300316.SZ,晶盛机电,专用机械,20260707,50.05,49.68872188080975,-10.443419595989397,0.5479861740509193,1616920.70645,3.8382,2.6749,0.7,6554216.669,6163934.777,48.12,51.1,47.28,23.201025830953114,40.02324854442437,1.4330152386416495,-1.7700581291814603,158.168,3.8059,4,20,20,0,0.5052356020942407,10,0,0.7270827373198638,3,57,C
301428.SZ,世纪恒通,互联网,20260707,32.16,35.07633333333333,-4.360583505289032,-0.8200184372023287,138111.14482,1.3233,6.1833,0.73,317312.1072,223922.04,31.98,32.85,31.42,9.362341155229796,16.22380348548921,-0.05362845089982779,-1.5327799726050018,,2.6329,25,10,20,0,0.12587412587412322,0,0,-8.314247973467392,0,55,C
300219.SZ,鸿利智汇,元器件,20260707,8.22,8.318604480834983,-18.763497591521762,0.09934375140953833,254618.35971,0.8589,4.4088,0.45,581929.557,580858.7376,8.1,8.27,8.03,20.7383921922681,40.48933708416303,0.26801299731349915,-0.33733849180792164,57.3682,2.2314,12,20,12,0,0.5000000000000037,10,0,-1.1853488293878465,0,54,C
688777.SH,中控技术,专用机械,20260707,104.0,90.55815397636678,1.7128628399878068,3.176002410595501,1949762.41,2.141,2.3637,0.74,8228370.8,8186870.64,102.77000000000001,107.33,100.5,19.897161892357772,28.989311418542755,6.201451052657141,-6.05089728412328,207.751,8.2009,4,20,20,0,0.18008784773059883,0,10,14.843330427364029,0,54,C
002925.SZ,盈趣科技,元器件,20260707,22.8,21.142709225352114,-5.748719156166146,0.6464668117364418,320968.90425,1.3784,1.9296,0.62,1759405.32,1666789.668,22.34,23.22,22.16,29.905241617901133,47.73222200493477,0.7717840021151564,-0.25063438075742916,29.6355,3.4051,4,20,20,0,0.43396226415094474,10,0,7.8385922872204,0,54,C
300293.SZ,蓝英装备,专用机械,20260707,18.03,18.65866666666667,1.786389753911294,0.09044562454175065,145320.344,0.2223,2.4109,0.61,610203.8943,610203.8943,17.9,18.09,17.45,34.339501566156486,50.61605747227908,0.12975230828615492,-0.07861336748880854,,8.2044,12,20,5,0,0.2031250000000038,5,10,-3.369301129055314,0,52,C
300919.SZ,中伟新材,电气设备,20260707,41.97,52.67335718129836,1.8589417045053906,-2.656583458301327,733556.20173,0.0,1.8961,1.2,4383624.6414,3839028.6366,41.73,43.4,41.25,10.931999008325416,15.468527660235427,-2.402969004589912,-0.5072289074228298,24.1523,1.847,4,20,5,10,0.11162790697674518,0,10,-20.32024870649137,0,49,D
688538.SH,和辉光电,半导体,20260707,2.36,2.3525,0.372565322644661,0.021895879819451736,226974.979,0.4255,1.6728,0.49,3259027.2736,1357527.6252,2.34,2.39,2.33,35.39679140783521,52.908904450430484,0.026279842266742865,-0.008767924894582259,,4.2925,4,20,5,0,0.3333333333333333,5,10,0.3188097768331494,3,47,D
300820.SZ,英杰电气,电气设备,20260707,71.44,62.025488434531184,-9.35741762297748,3.0633015838501336,454671.75127,3.5212,5.6961,0.79,1587775.432,798553.4624,69.0,73.88,68.42,25.545509337936757,42.99697281839388,4.584858311234985,-3.0431134547697027,76.0702,6.1518,4,10,20,0,0.44688644688644696,10,0,15.178456152595993,0,44,D
301323.SZ,新莱福,橡胶,20260707,74.68,79.18616666666667,-3.2066562658087285,-1.9560060837786608,156714.77276,0.9735,3.0176,0.83,795972.2992,512026.2436,73.79,77.86,73.29,8.79741725852612,14.799454020693545,0.7946059729033654,-5.501224113364053,53.5782,3.5368,4,20,12,5,0.19474835886214484,0,0,-5.69059831578326,0,41,D
605358.SH,立昂微,半导体,20260707,60.53,55.103500000000004,-11.541556263366687,2.039191771418615,3447965.677,1.7482,7.3386,0.66,4674122.9682,4674122.9682,59.379999999999995,62.26,58.44,23.86492252324685,41.56816191655362,4.155155691249739,-4.231927839662248,,6.697,4,10,20,0,0.3010471204188496,5,0,9.847831807416945,0,39,D
002733.SZ,雄韬股份,电气设备,20260707,26.25,30.622678295524217,-4.401209586730793,-1.3443897864350838,1058890.68509,4.4568,10.8496,1.4,1008564.375,968264.85,25.6,27.639999999999997,25.35,8.40139679736654,14.802699989415208,-0.169665035667877,-2.3494495015344135,126.2819,3.7109,4,0,20,10,0.28384279475982527,5,0,-14.279215728048595,0,39,D
003013.SZ,地铁设计,建筑工程,20260707,14.149999999999999,14.239503369005153,-3.4944669039668455,-0.08061368072357489,55175.06035,0.2125,0.9697,0.82,651972.287,569615.891,14.079999999999998,14.33,13.99,13.304775619026891,21.70439688052376,0.1450045998709681,-0.45123656118908595,13.5646,1.9358,12,10,5,5,0.2058823529411774,5,0,-0.6285568161033925,0,37,D
300429.SZ,强力新材,化工原料,20260707,15.55,15.041666666666666,-3.5667306490925483,0.40182912669509463,378534.48074,0.5821,5.8269,0.51,863643.4686,649588.4881,15.35,16.05,15.15,33.644819869931204,52.25059512944308,0.5389733281569646,-0.27428840292374,,5.1949,4,10,12,0,0.22222222222222332,5,0,3.37950138504156,5,36,D
605366.SH,宏柏新材,化工原料,20260707,11.15,12.097833333333334,-5.23132917041238,0.14997440785035998,575308.099,1.4559,6.7474,0.73,861702.8855,861702.8855,11.15,11.66,10.66,30.949621052551635,49.04009616403364,0.19943323440298003,-0.09891765310524009,,3.2196,4,10,20,0,0.0,0,0,-7.83473624753744,0,34,D
688711.SH,宏微科技,半导体,20260707,36.23,33.712,-10.263541092118388,1.1513096832481509,609930.746,0.6389,7.8249,0.7,772151.5127,772151.5127,35.7,37.59,35.38,23.407620261928507,40.24320093895195,2.0013130237362837,-1.7000066809762657,455.8075,7.3431,4,10,12,0,0.23981900452488408,5,0,7.469150450878005,0,31,D
301611.SZ,珂玛科技,半导体,20260707,146.61,117.13026418757468,-2.791236399130966,12.527349332213106,1452187.54056,0.4866,6.7538,0.57,6392196.0,2149048.9647,144.84,151.24,142.06,38.12803933497441,58.5876772020271,12.92546559305119,-0.796232521676167,257.8725,34.9244,4,10,5,0,0.19281045751634085,0,0,25.168333749521736,0,19,D
